Manufacturer,Model,Stick_Pin_Diameter_mm,Stick_Pin_Diameter_inch,Stick_Width_mm,Stick_Width_inch,Link_Pin_Diameter_mm,Link_Pin_Diameter_inch,Link_Width_mm,Link_Width_inch,Pin_Centers_mm,Pin_Centers_inch,Tip_Radius_mm,Tip_Radius_inch,Data_Source,Notes
Airman,AX12,30.0,1.181,120.0,4.724,30.0,1.181,120.0,4.724,117.0,4.606,,,PDF_Page_1,
Airman,AX22,35.0,1.378,140.0,5.512,35.0,1.378,140.0,5.512,185.0,7.283,,,PDF_Page_1,
Airman,AX29U,35.0,1.378,140.0,5.512,35.0,1.378,140.0,5.512,185.0,7.283,,,PDF_Page_1,
Airman,AX30,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,185.0,7.283,,,PDF_Page_1,
Airman,AX30UR,35.0,1.378,141.0,5.551,35.0,1.378,141.0,5.551,185.0,7.283,,,PDF_Page_1,
Airman,AX32U,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,185.0,7.283,,,PDF_Page_1,
Airman,AX36U,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,185.0,7.283,,,PDF_Page_1,
Airman,AX40,45.0,1.772,162.0,6.378,45.0,1.772,162.0,6.378,230.0,9.055,,,PDF_Page_1,
Airman,AX40U,45.0,1.772,161.0,6.339,45.0,1.772,161.0,6.339,230.0,9.055,,,PDF_Page_1,
Airman,AX50U,45.0,1.772,161.0,6.339,45.0,1.772,161.0,6.339,230.0,9.055,,,PDF_Page_1,
Airman,AX50UU,45.0,1.772,162.0,6.378,45.0,1.772,162.0,6.378,230.0,9.055,,,PDF_Page_1,
Atlas,404,35.0,1.378,110.0,4.331,35.0,1.378,110.0,4.331,115.0,4.528,,,PDF_Page_1,
Atlas,604,40.0,1.575,153.0,6.024,40.0,1.575,153.0,6.024,165.0,6.496,,,PDF_Page_1,
Atlas,804,40.0,1.575,153.0,6.024,40.0,1.575,153.0,6.024,165.0,6.496,,,PDF_Page_1,
Atlas,1202,100.0,3.937,270.0,10.63,100.0,3.937,210.0,8.268,283.0,11.142,,,PDF_Page_1,Top configuration
Atlas,1302,100.0,3.937,270.0,10.63,100.0,3.937,210.0,8.268,283.0,11.142,,,PDF_Page_1,Top configuration
Atlas,1402,100.0,3.937,270.0,10.63,100.0,3.937,210.0,8.268,283.0,11.142,,,PDF_Page_1,Top configuration
Atlas,1602,100.0,3.937,270.0,10.63,100.0,3.937,210.0,8.268,283.0,11.142,,,PDF_Page_1,Top configuration
Atlas,1702,80.0,3.15,207.0,8.15,80.0,3.15,165.0,6.496,446.0,17.559,347.0,13.661,PDF_Page_1,Top/Bottom config
Atlas,1804,80.0,3.15,207.0,8.15,80.0,3.15,165.0,6.496,446.0,17.559,347.0,13.661,PDF_Page_1,Top/Bottom config
Benati,14-15 ton,60.0,2.362,267.0,10.512,60.0,2.362,267.0,10.512,415.0,16.339,,,PDF_Page_1,
Bobcat,316,25.0,0.984,112.0,4.409,25.0,0.984,112.0,4.409,100.0,3.937,,,PDF_Page_1,
Bobcat,322,30.0,1.181,108.0,4.252,30.0,1.181,108.0,4.252,123.0,4.843,,,PDF_Page_1,
Bobcat,323,30.0,1.181,108.0,4.252,30.0,1.181,108.0,4.252,123.0,4.843,,,PDF_Page_1,
Bobcat,331,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,200.0,7.874,,,PDF_Page_1,
Bobcat,337,45.0,1.772,152.4,6.0,45.0,1.772,95.25,3.75,220.0,8.661,,,PDF_Page_1,
Bobcat,341,45.0,1.772,152.4,6.0,45.0,1.772,95.25,3.75,218.948,8.62,,,PDF_Page_1,
Bobcat,430,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,200.0,7.874,,,PDF_Page_1,
Bobcat,435,45.0,1.772,160.0,6.299,45.0,1.772,160.0,6.299,220.0,8.661,,,PDF_Page_1,
Bobcat,442,50.0,1.969,184.912,7.28,50.0,1.969,184.912,7.28,274.828,10.82,,,PDF_Page_1,
Bobcat,730,38.1,1.5,202.0,7.953,38.1,1.5,202.0,7.953,244.0,9.606,,,PDF_Page_1,
Bobcat,753,38.1,1.5,202.0,7.953,38.1,1.5,202.0,7.953,244.0,9.606,,,PDF_Page_1,
Bobcat,X320,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,120.0,4.724,,,PDF_Page_1,
Bobcat,X322,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,120.0,4.724,,,PDF_Page_1,
Bobcat,X325,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,PDF_Page_1,
Bobcat,X328,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,PDF_Page_1,
Bobcat,X331,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,PDF_Page_1,
Bobcat,X335,45.0,1.772,160.0,6.299,45.0,1.772,160.0,6.299,220.0,8.661,,,PDF_Page_1,
Bobcat,X337,45.0,1.772,160.0,6.299,45.0,1.772,160.0,6.299,220.0,8.661,,,PDF_Page_1,
Bobcat,X341,45.0,1.772,160.0,6.299,45.0,1.772,160.0,6.299,220.0,8.661,,,PDF_Page_1,
Bobcat,X442,50.0,1.969,180.0,7.087,50.0,1.969,175.0,6.89,275.0,10.827,,,PDF_Page_1,
Bobcat,ZX125,50.0,1.969,220.98,8.7,50.0,1.969,221.234,8.71,289.814,11.41,,,PDF_Page_1,
Case,220,100.0,3.937,610.0,24.016,85.0,3.346,610.0,24.016,433.0,17.047,522.0,20.551,PDF_Page_2,Multiple pin centers
Case,488,50.0,1.969,170.0,6.693,50.0,1.969,170.0,6.693,390.0,15.354,,,PDF_Page_2,
